DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
30-10-2015,114.9,114.9,111,111.65,43498,1073
29-10-2015,114.1,114.9,113.1,113.75,49690,875
28-10-2015,113.9,114.2,111.6,113.1,60800,1331
27-10-2015,111.75,113.8,111.3,112.55,52176,1223
26-10-2015,114.25,114.7,111.3,111.8,66641,1119
23-10-2015,114.9,116.65,113.4,114.05,90916,2128
21-10-2015,114.45,116.25,113,114.1,127765,2409
20-10-2015,114.85,115,112.6,113.1,90896,2483
19-10-2015,112.35,115.85,112,113.4,90934,1997
16-10-2015,116.9,116.9,110.95,112.25,107433,2255
15-10-2015,115.65,116.7,114.1,114.65,86788,1627
14-10-2015,113.9,114.75,112.55,113.4,47576,939
13-10-2015,114,116.05,113.25,113.9,92797,1741
12-10-2015,113.6,114.9,113.15,113.45,40515,1063
09-10-2015,115.35,115.8,113.5,114.15,70488,1447
08-10-2015,114.7,117.7,112.7,114.35,213103,4227
07-10-2015,114.15,116.65,113,113.7,120789,1912
06-10-2015,112.5,117.6,110.7,113.5,176216,3175
05-10-2015,112.6,112.6,110.5,111.1,61357,1169
01-10-2015,112.6,113.5,110.35,110.7,59443,1357
30-09-2015,113.8,114.7,111.1,111.7,69142,1458
29-09-2015,111.9,113.5,109.25,112.7,82615,1599
28-09-2015,114,117.4,112.65,113.15,99862,1908
24-09-2015,115,115,113.3,113.7,56123,1124
23-09-2015,114.5,117,113.55,113.9,88237,1675
22-09-2015,117.5,117.5,113.1,113.55,84234,1446
21-09-2015,113.55,118.4,113.25,117.55,100666,2299
18-09-2015,118,119.6,113.55,114.1,112129,2297
16-09-2015,116.55,117.65,114.1,115.85,87699,1644
15-09-2015,118.5,119.4,115,116.1,93290,2026
14-09-2015,119.5,121.4,114,118.4,194105,3675
11-09-2015,111.95,122,110.1,116.45,740367,14064
10-09-2015,106.2,113.25,105.3,110.05,226210,5077
09-09-2015,111.7,112.85,107.5,108.65,170536,2828
08-09-2015,113,116.4,108.25,109.65,456193,8537
07-09-2015,101.85,117.4,101.5,110.8,827040,15078
04-09-2015,111.95,112.25,98.3,99.95,268998,4676
03-09-2015,111.85,115.2,111.8,113,52279,1240
02-09-2015,116.9,118.7,109,110.45,110404,2338
01-09-2015,122.5,125.8,114.2,115.5,181338,2640
31-08-2015,122,122,117.6,118.25,62724,739
28-08-2015,123,125.1,120.2,120.75,83029,1726
27-08-2015,119.9,123.5,119,120.05,92994,2256
26-08-2015,115,120.7,115,115.85,96374,2049
25-08-2015,124,128,110,117.6,131186,2233
24-08-2015,135.3,135.3,121,123.45,96958,2053
21-08-2015,141.5,142,136.9,138.3,89140,1661
20-08-2015,149.7,149.7,142,143.5,90392,1705
19-08-2015,149.4,156.4,146.5,147.35,113573,2269
18-08-2015,146.8,152.25,145.8,148.1,91551,1927
17-08-2015,147.5,147.5,143.2,145.4,42554,1094
14-08-2015,148.8,148.8,141.55,144.5,65685,1662
13-08-2015,146.95,151.15,143.8,144.85,52442,1460
12-08-2015,152,154.5,148.9,149.55,53094,1407
11-08-2015,154.85,155,152.35,152.75,48291,929
10-08-2015,155.55,157,152.35,153.55,128389,2498
07-08-2015,165.65,167.5,159.1,160.2,119999,2549
06-08-2015,159.4,169.6,159.4,164.6,386208,8132
05-08-2015,152,163,151.6,157.8,298751,6084
04-08-2015,153,153.45,150.1,150.55,63582,1177
03-08-2015,149,155.7,148.7,152,141497,2854
31-07-2015,148.5,151.85,147.3,148.65,52648,1118
30-07-2015,150.3,151.15,148.5,149.35,46354,927
29-07-2015,148.7,152.75,148.45,149.2,68096,1341
28-07-2015,150,152,147.6,148.5,72432,1072
27-07-2015,146,152.9,146,149.8,53824,1274
24-07-2015,153.75,157.7,152,152.7,115902,2500
23-07-2015,153.7,155.4,152.6,152.95,41299,1086
22-07-2015,152.5,156.4,151.5,153.2,79193,1804
21-07-2015,154.6,156.45,151.2,152.2,89832,1606
20-07-2015,155.5,156.15,153.4,154.05,40908,944
17-07-2015,156.25,157.55,154.4,154.75,59281,1120
16-07-2015,157.8,159.8,154.7,155.4,127006,2602
15-07-2015,156.55,158.8,154.8,156.1,120386,2729
14-07-2015,156.85,156.9,153.75,154.2,60169,1112
13-07-2015,155,159,155,155.65,75563,1912
10-07-2015,152.2,163.5,150.85,154.75,402301,8181
09-07-2015,152.1,153.65,150.1,150.7,51008,1139
08-07-2015,151.5,154.2,150.4,151.1,63289,1253
07-07-2015,155.7,157.5,153.4,154.45,81413,1992
06-07-2015,151.1,155.2,150.7,153.9,106007,2655
03-07-2015,157,158.55,153,154.35,108813,2632
02-07-2015,155.5,162,154.4,156.05,251292,5442
01-07-2015,152.1,159.3,152.1,154.55,203793,4383
30-06-2015,151.3,156.3,151.3,152.5,110134,2712
29-06-2015,154.6,154.6,148.2,151.35,94413,2693
26-06-2015,154,161.8,152.1,154.6,199362,4803
25-06-2015,156.1,156.5,152.6,153.75,84290,2313
24-06-2015,159.3,163.95,154.2,155.8,158994,4566
23-06-2015,157.95,162.4,154.05,158.5,96935,2704
22-06-2015,156.9,160.8,152.6,157.2,118115,3641
19-06-2015,166,167.3,154,155.4,224845,5329
18-06-2015,161.5,168,156.4,161.9,453334,10092
17-06-2015,138,163.5,137.35,160.25,647285,14834
16-06-2015,138.5,139,135,137.25,36315,929
15-06-2015,138,140,137.9,138.2,35087,851
12-06-2015,138.5,140.95,137.2,138.05,41225,1073
11-06-2015,142.2,145,139.1,139.55,45371,1203
10-06-2015,139.25,144.1,139,141.7,59274,1537
09-06-2015,144.8,144.8,138.35,139.25,63878,1967
08-06-2015,148,149.3,142.3,143.2,46987,1346
05-06-2015,147,150.75,145.45,147.2,57174,1783
04-06-2015,150,152,144.55,146.75,53936,1924
03-06-2015,159,161.1,142.8,148.45,94547,2899
02-06-2015,162.65,163.45,159.05,159.3,40388,975
01-06-2015,163.35,165.5,161.6,161.95,53542,1417
